,credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,label
0,1,-0.13931025204846773,2.462970885232379,0.6803525159135735,0.9984531616772238,0.6887889252969932,0.43220713981178377,0.35371397900825113,0.18269415021113974,-0.7169515096981637,-0.2997144370528887,-0.23699080272509654,0,1,0,0,0,0,0
1,1,-0.5788381553551719,-0.4388315163930852,0.24401805569142748,0.2445276875105855,-0.10129734134906647,-0.721192394170333,0.4949917731713562,1.030548512721039,-0.7169515096981637,-0.2997144370528887,-0.23699080272509654,1,0,0,0,0,0,0
2,1,0.4864582882526017,0.23069631771914084,-0.9086115350882925,-0.14187727612780676,-0.7597025635541161,0.059766505648974934,-0.3970520384955382,-0.7306448988340768,-0.26245673440601913,-0.2997144370528887,-0.23699080272509654,0,1,0,0,0,0,0
3,1,-0.8135013579680732,-0.7569827982115607,0.6803525159135735,-0.6546628105802601,0.03038370309194347,-0.7452385860696341,0.49629523782708623,0.9099188269980858,-0.26245673440601913,-0.2997144370528887,-0.23699080272509654,0,1,0,0,0,0,0
4,1,0.7434703673048275,-1.0439370964151704,0.5979301850683688,0.34330790377904696,-1.154745696877146,-0.1981501771631452,-0.36064390072526015,-0.2515727183914916,-0.7169515096981637,1.5310667352000247,-0.23699080272509654,1,0,0,0,0,0,0
5,1,-1.6329601607432842,-0.936679355534959,1.5823523667269412,0.6352906018667045,0.4254268364149733,0.6244765512693355,1.0040539696273842,0.14478196326964013,-0.7169515096981637,-0.2997144370528887,-0.23699080272509654,1,0,0,0,0,0,0
6,1,1.0042072590969402,-0.6039920178835506,-0.3540905215783266,-1.2502494086695117,-1.154745696877146,-0.5529691746120826,-0.38733530197100513,1.033995075170266,-0.7169515096981637,-0.2997144370528887,3.5779636653437685,0,1,0,0,0,0,1
7,1,-0.41867120754001713,-0.9072691960590251,0.11382766874248158,-0.2217730392861211,0.29374579197396333,0.2223661535087898,0.21643545140249965,0.7513769543336328,-0.7169515096981637,-0.2997144370528887,-0.23699080272509654,0,0,0,0,0,0,1
8,1,-0.3441749527422706,-1.1199012685919256,0.7733213261310982,0.6745121583262405,-0.7597025635541161,-0.22898804141242043,1.569935375394554,0.1482285257188674,-0.26245673440601913,-0.2997144370528887,-0.23699080272509654,0,0,0,1,0,0,0
9,1,-0.020116244372073634,-1.134727079690631,-1.1849542746064115,-0.37865926512426545,-0.10129734134906647,-0.7331904591857691,-0.3342783656434477,-0.8202555225139849,-0.26245673440601913,-0.2997144370528887,-0.23699080272509654,0,1,0,0,0,0,0
10,1,0.4492101608537284,0.1996442117371615,-0.8100048945031251,1.3775948741194057,-0.8913836079951261,0.8619681551631045,-0.09088596538258147,0.8340944531150866,0.19203804088612544,-0.2997144370528887,3.5779636653437685,0,1,0,0,0,0,0
